prolific_id,rt,response,test_part,trial_type,trial_index,time_elapsed,internal_node_id
sub006,5072.399999856949,{'Q0': 'No'},break,survey-text,0,5077,0.0-0.0
sub006,5876.299999952316,{'Q0': 'No'},break,survey-text,0,5880,0.0-0.0
sub007,8896.899999976158,{'Q0': 'No'},break,survey-text,0,8902,0.0-0.0
sub007,102832.79999995232,{'Q0': 'No'},break,survey-text,0,102837,0.0-0.0
sub007,5795.099999904633,{'Q0': ''},break,survey-text,0,5799,0.0-0.0
sub007,5587.0,{'Q0': 'No'},break,survey-text,0,5591,0.0-0.0
sub007,4900.399999976158,{'Q0': 'No'},break,survey-text,0,4904,0.0-0.0
sub007,4800.5,{'Q0': 'No'},break,survey-text,0,4803,0.0-0.0
sub007,9280.799999952316,{'Q0': 'No'},break,survey-text,0,9285,0.0-0.0
sub008,88069.59999999776,{'Q0': 'if the pictures are supposed to go away once I selected then there was a problem with the p button. it was slower than the q'},break,survey-text,0,88082,0.0-0.0
sub008,12040.5,{'Q0': 'no'},break,survey-text,0,12044,0.0-0.0
sub008,11169.70000000298,{'Q0': 'no'},break,survey-text,0,11172,0.0-0.0
sub008,40437.10000000149,{'Q0': 'no'},break,survey-text,0,40446,0.0-0.0
sub008,20784.39999999851,{'Q0': 'no'},break,survey-text,0,20788,0.0-0.0
sub008,29612.89999999851,"{'Q0': 'my pc tried to restart around the end, but I managed to postpone '}",break,survey-text,0,29617,0.0-0.0
sub008,11826.5,{'Q0': 'no'},break,survey-text,0,11832,0.0-0.0
sub009,24521.5,{'Q0': 'no'},break,survey-text,0,24538,0.0-0.0
sub009,12016.399999976158,{'Q0': ''},break,survey-text,0,12021,0.0-0.0
sub009,16684.099999964237,{'Q0': ''},break,survey-text,0,16689,0.0-0.0
sub009,7403.800000011921,{'Q0': ''},break,survey-text,0,7409,0.0-0.0
sub009,9629.300000011921,{'Q0': ''},break,survey-text,0,9651,0.0-0.0
sub009,8206.800000011921,{'Q0': ''},break,survey-text,0,8215,0.0-0.0
sub009,53173.59999996424,{'Q0': ''},break,survey-text,0,53180,0.0-0.0
sub010,16568.19999998808,{'Q0': 'None'},break,survey-text,0,16576,0.0-0.0
sub010,12945.200000017881,{'Q0': 'None'},break,survey-text,0,12950,0.0-0.0
sub010,33864.10000002384,{'Q0': 'None'},break,survey-text,0,33868,0.0-0.0
sub010,17192.90000000596,{'Q0': 'None'},break,survey-text,0,17203,0.0-0.0
sub010,12876.200000017881,{'Q0': 'None'},break,survey-text,0,12884,0.0-0.0
sub010,5647.699999988079,{'Q0': 'None'},break,survey-text,0,5656,0.0-0.0
sub010,39989.40000000596,{'Q0': ''},break,survey-text,0,39995,0.0-0.0
sub011,65043.80000001192,{'Q0': ''},break,survey-text,0,65067,0.0-0.0
sub011,16465.5,{'Q0': ''},break,survey-text,0,16480,0.0-0.0
sub011,14270.700000017881,{'Q0': ''},break,survey-text,0,14285,0.0-0.0
sub011,24412.600000023842,{'Q0': ''},break,survey-text,0,24432,0.0-0.0
sub011,22412.59999999404,{'Q0': ''},break,survey-text,0,22432,0.0-0.0
sub011,25243.69999998808,{'Q0': ''},break,survey-text,0,25276,0.0-0.0
sub011,7164.0999999940395,{'Q0': ''},break,survey-text,0,7184,0.0-0.0
sub012,14670.899999976158,{'Q0': 'cutt of images'},break,survey-text,0,14680,0.0-0.0
sub012,42568.89999997616,{'Q0': ''},break,survey-text,0,42574,0.0-0.0
sub012,138928.10000002384,{'Q0': ''},break,survey-text,0,138935,0.0-0.0
sub012,100793.20000004768,{'Q0': ''},break,survey-text,0,100800,0.0-0.0
sub012,6615.800000071526,{'Q0': ''},break,survey-text,0,6622,0.0-0.0
sub012,16718.300000071526,"{'Q0': 'slow loading images, some images at the end didnt appear'}",break,survey-text,0,16730,0.0-0.0
sub013,13262.39999999851,{'Q0': ''},break,survey-text,0,13269,0.0-0.0
sub013,37624.5,{'Q0': ''},break,survey-text,0,37627,0.0-0.0
sub013,38231.40000000596,{'Q0': ''},break,survey-text,0,38235,0.0-0.0
sub013,73605.79999999702,{'Q0': ''},break,survey-text,0,73612,0.0-0.0
sub013,68879.70000000298,{'Q0': ''},break,survey-text,0,68884,0.0-0.0
sub013,55868.0,{'Q0': ''},break,survey-text,0,55872,0.0-0.0
sub013,2795.0,{'Q0': ''},break,survey-text,0,2799,0.0-0.0
sub014,36414.39999999851,{'Q0': 'delayed response to whichever key was pressed'},break,survey-text,0,36543,0.0-0.0
sub014,16106.10000000149,{'Q0': 'nonw'},break,survey-text,0,16146,0.0-0.0
sub014,27618.699999999255,{'Q0': 'none'},break,survey-text,0,27656,0.0-0.0
sub014,55338.199999999255,{'Q0': 'no'},break,survey-text,0,55366,0.0-0.0
sub014,49945.60000000149,{'Q0': 'no'},break,survey-text,0,49995,0.0-0.0
sub014,52285.300000000745,{'Q0': 'no'},break,survey-text,0,52329,0.0-0.0
sub014,4066.699999999255,{'Q0': 'no'},break,survey-text,0,4081,0.0-0.0
